title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Căn hộ chung cư tại Rivera Park Hà Nội	pr43291907	93.0	0.0	8.5	0	3	2	Đầy đủ	2	20.9992203876995	105.809038940167	Dự án Rivera Park Hà Nội, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Hà Nội Center Point	pr43250863	80.3	0.0	7.15	0	3	2	Full nội thất nhập khẩu.	2	21.00437800599407	105.80493015706443	Dự án Hà Nội Center Point, Phố Hoàng Đạo Thúy, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại đường Ngọc Thụy	pr43311401	60.0	6.0	22.9	0	0	0		2	21.0495323739021	105.867064319269	Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại Vinhomes Gardenia	pr43249523	100.0	0.0	9.85	0	3	2	Cao cấp	2	21.036150229308088	105.76004676129612	Dự án Vinhomes Gardenia, Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Mậu Lương	pr43298462	33.0	4.0	7.0	1	4	0	Nội thất đầy đủ 04 điều hòa, giường tủ quần áo, bếp từ, hút mùi.	2	20.9584239845986	105.794541101002	Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà mặt phố tại đường Lý Thánh Tông	pr41343967	111.0	6.0	21.0	0	0	0		-1			Đường Lý Thánh Tông, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Căn hộ chung cư tại Mulberry Lane	pr43302389	154.0	0.0	8.7	0	4	3	Đầy đủ	2	20.98627503576664	105.78564732749032	Dự án Mulberry Lane, Phường Mỗ Lao, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại phố Ngụy Như Kon Tum	pr42897942	60.0	5.0	26.5	0	0	0		2	20.9988955818454	105.801009818267	Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà mặt phố tại đường Cổ Nhuế	pr41817510	172.0	5.0	25.0	1100	5	5		2	21.0644651370347	105.779866846575	Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà riêng tại phường Bồ Đề	pr43288471	78.0	8.0	22.8	1100	0	0		2	21.0381170463144	105.872885595676	Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại phường Đại Kim	pr43262339	54.0	5.0	9.99	0	6	4	Cơ bản	2	20.9750546413127	105.823569434075	Phường Đại Kim, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Trang trại, khu nghỉ dưỡng tại xã Minh Phú	pr41643637	4200.0	22.0	8.4	100	0	0		1	21.2769959297241	105.777448351782	Xã Minh Phú, Sóc Sơn, Hà Nội	Sóc Sơn	Hà Nội
Nhà riêng tại phường Xuân Đỉnh	pr43263206	130.0	6.5	26.5	0	6	0		-1	21.0752620739876	105.789248286339	Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà riêng tại phường Minh Khai	pr42669126	51.0	0.0	10.85	0	6	0	Đầy đủ	2	20.996262838582	105.857194319096	Phường Minh Khai, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà riêng tại phố Thái Hà	pr43269379	63.0	6.6	20.0	0	4	7	Đầy đủ	2	21.013862151962	105.826270596055	Phố Thái Hà, Phường Quang Trung, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Bùi Xương Trạch	pr43314904	36.0	0.0	9.4	0	3	4	Đầy đủ	2	20.9871971929869	105.818498705385	Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại phường Việt Hưng	pr42925885	40.0	6.0	8.5	0	3	3		2	21.055690388629248	105.892742247921	Phường Việt Hưng, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại Mandarin Garden	pr40805542	145.0	0.0	13.78	0	3	2	Đầy đủ	2	21.004506325370844	105.79894898725148	Dự án Mandarin Garden, Đường Hoàng Minh Giám, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Trần Phú	pr43010669	49.0	0.0	9.5	0	4	0	Đầy đủ	2	20.9748468936848	105.785610577144	Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà mặt phố tại phường Nghĩa Đô	pr43276554	60.0	0.0	25.0	0	0	0		-1	21.0466254349898	105.802949033192	Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại phố Lê Văn Thiêm	pr43316370	72.0	7.0	28.5	0	6	0		2	21.0021963960542	105.802952270037	Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà mặt phố tại đường Khương Trung	pr43309055	83.0	4.0	24.0	0	6	4	Cơ bản	2	20.9956647965841	105.818019342043	Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Diamond Park Plaza	pr42660861	102.0	0.0	15.8	0	2	2	Cơ bản	1	21.0191172135047	105.816018353459	Diamond Park Plaza , Phố Láng Hạ, Phường Thành Công, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Bán đất tại xã Phú Mãn	pr43262871	307.0	6.5	9.21	0	0	0		2	20.9528721583228	105.52837991947	Xã Phú Mãn, Quốc Oai, Hà Nội	Quốc Oai	Hà Nội
