title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Nhà riêng tại phường Thịnh Liệt	pr42638174	70.0	5.5	17.8	0000	6	6		2	20.9768093071434	105.847407838191	Phường Thịnh Liệt, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Shophouse, nhà phố thương mại tại The Canopy Residences - Vinhomes Smart City	pr42008798	65.0	0.0	13.5	0000	0	0		-1	21.0009128526062	105.739365722418	Dự án The Canopy Residences - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Bán đất tại đường Nguyễn Văn Linh	pr40415136	79.0	5.5	8.5	0000	0	0		2	21.0282276	105.9199083	Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội	Long Biên	Hà Nội
Bán đất tại đường Phú Mãn	pr41667959	420.0	0.0	10.08	0000	0	0		2	20.94235770623	105.520900631637	Đường Phú Mãn, Xã Phú Mãn, Quốc Oai, Hà Nội	Quốc Oai	Hà Nội
Bán đất tại đường An Lạc	pr42607673	73.0	6.5	7.665	0011	0	0		2	21.0167387577077	105.92561703825	Đường An Lạc, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại phố Vạn Phúc	pr42631578	50.0	0.0	9.0	0000	0	0		-1	20.9753745789736	105.786623231431	Phố Vạn Phúc, Phường Quang Trung, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán đất tại xã Đại Áng	pr40702395	89.5	0.0	8.3	0000	0	0		2	20.9094601461538	105.824451438568	Xã Đại Áng, Huyện Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42572425	70.0	0.0	19.0	0000	4	0	Đầy đủ nội thất nhập khẩu.	2	21.049602988581	105.88343986278	Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm	pr42581193	70.8	5.9	19.0	0110	0	0	Không nội thất	2	21.00211283509949	105.96344511261314	Dự án Vinhomes Ocean Park Gia Lâm, Đường Ngọc Trai 6, Xã Dương Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Bán đất tại đường Du Nội	pr42517985	120.0	6.0	11.4	0000	0	0		2	21.0893757883695	105.896097750565	Đường Du Nội, Xã Mai Lâm, Đông Anh, Hà Nội	Đông Anh	Hà Nội
