title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
TẬP THỂ BỘ TÀI CHÍNH ĐỐNG ĐA - 2 NGỦ - 2 VỆ SINH - FULL NỘI THẤT	125871364	0.0	0.0	4.15	0000	2	0		2	21.017805	105.82944	Phố Nguyễn Lương Bằng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
🏠 CHIẾN THẮNG, HÀ ĐÔNG.	125871334	34.0	0.0	6.0	0000	3	4		2	20.966982	105.762566	Đường Chiến Thắng, Phường La Khê, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán nhà Tân Triều, Thanh Trì, Gần ô tô, gần hồ TK, 31m2, 5.85 tỷ	125871432	31.0	0.0	5.85	0000	3	0		2	20.969086	105.796745	Tân Triều, Xã Tân Triều, Huyện Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
CẦN TIỀN LO CÔNG VIỆC E BÁN GẤP NHÀ 5TẦNG THANG MÁY  MỚI CẠNH TRƯỜNG	125871407	55.0	0.0	12.8	0000	6	0		2	20.985243	105.857895	10, Đường Đền Lừ 2, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Biệt thự pháp cổ phố Hàng Chuối nhà đẹp 3 ngủ view mặt phố  60m2 giá 6	125871395	60.0	0.0	6.9	0000	3	0	Nội thất cao cấp	2	21.014854	105.85047	Hàng Chuối, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
CHDV BA ĐÌNH - 12 TỶ LÔ GÓC - 8PKK FULL NỘI THẤT-ĐẦY ĐỦ PCCC-THANG MÁY	125871483	50.0	0.0	12.0	0000	8	0	Nội thất đầy đủ	2	21.044325	105.80859	Ngõ 6 Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội	Ba Đình	Hà Nội
BÁN MINH KHAI - NHÀ MỚI - FULL NỘI THẤT - HÀNG XÓM TIMES CITY - NHỈNH	125871469	41.0	0.0	7.5	0000	3	0		2	20.99809	105.86771	Phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
BÁN NHÀ VŨ TÔNG PHAN, NỘI THẤT ĐẸP, SỔ VUÔNG, 4,35 TỶ	125871481	25.0	0.0	4.35	0000	3	0		2	20.983088	105.8161	Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Siêu hiếm Phố Lê Văn Hiến, nhà đẹp ở ngay, ngõ thông, 2m ra oto 25m*6T	125871499	25.0	0.0	4.65	0000	4	5		2	21.091917	105.785	Lê Văn Hiến, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Chủ Cần Tiền Giảm Giá miếng đất	125871535	82.0	0.0	3.034	0000	0	0		2	20.848433	105.9083	Chương dương, Xã Chương Dương, Huyện Thường Tín, Hà Nội	Thường Tín	Hà Nội
Nhà đẹp Ba Đình  Gần Lăng Bác  Cách phố 20m  5 tầng dân xây  8.31 tỷ	125871571	35.0	0.0	8.31	0000	5	0		2	21.03509	105.82292	Phố Đội Cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội	Ba Đình	Hà Nội
🏠 #PHU_DO ,ÔTÔ ĐỖ CỔNG -2 THOÁNG VĨNH VIỄN - 30.4M/5T -7.3TỶ ( có TL )	125871526	30.4	0.0	7.3	0000	3	0		2	21.00882	105.76593	Phố Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà 4 tầng mới	125871654	30.0	0.0	2.5	0000	3	0	Hoàn thiện cơ bản	2	20.948948	105.70284	10, Phượng Giang, Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
NHÀ ĐẸP PHÙNG CHÍ KIÊN - PHÂN LÔ - ÔT Ô - 10M RA MẶT PHỐ	125871853	38.0	0.0	11.9	0000	3	4		2	21.045101	105.80251	Phố Phùng Chí Kiên, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
CẦN BÁN NHÀ CÔ LINH LONG BIÊN HÀ NỘI.	125871975	60.0	0.0	16.0	0000	5	0		2	21.030355	105.88742	Phố Tư Đình, Phường Long Biên, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
HẬU DƯỠNG_KIM CHUNG_CT4 👉59M 2 ngủ vs khách bếp 💰2,2 tỷ	125871661	59.0	0.0	2.2	0000	2	2		2	21.124634	105.7762	Quốc Lộ 5, Xã Kim Chung, Huyện Đông Anh, Hà Nội	Đông Anh	Hà Nội
(Phân Lô quân đội – Ôtô tránh) Hoàng Văn Thái 96m2  5T – Mặt tiền 5m	125871912	96.0	0.0	20.2	0000	5	0		2	20.996965	105.82462	Phố Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
TIN ĐƯỢC KHÔNG - NGUYỄN HỮU – Ô TÔ ĐỖ CỔNG – GẦN HỒ- 50mx 4Tầng 6xxty	125872006	50.0	0.0	7.0	0000	6	0		2	20.968689	105.82819	Phố Nguyễn Hữu Thọ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
