title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province	property_type	property_type_id	district_id
BÁN NHÀ NGÕ 279 PHÚC LỢI - LONG BIÊN, MỚI TINH, OTO ĐỖ CỔNG, GIÁ NGỘP.	125563803	30.0	4.5	3	4	2	21.05286	105.92033	Long Biên	Hà Nội	Nhà riêng	3	14
Bán nhà 5 tầng 30m mới cực đẹp ngõ 197 Trần Phú, Hà Đông	125564487	30.0	7.95	3	4	2	20.979198	105.78643	Hà Đông	Hà Nội	Nhà riêng	3	9
TÔN THẤT TÙNG 36 m x 5 TẦNG Ở & CHO THUÊ 6 PHÒNG NGÕ RỘNG THẲNG SỔ ĐỎ	125579574	36.0	7.2	6	4	2	21.00088	105.82909	Đống Đa	Hà Nội	Khác	0	7
🏡Lĩnh Nam_Vĩnh Hưng,5 TẦNG, GẦN Ô TÔ – Ko QUY HOẠCH, Ở NGAY, từ 5tỷ	125565760	32.0	5.15	3	4	2	20.979588	105.88912	Hoàng Mai	Hà Nội	Khác	0	13
SIÊU PHẨM NHÀ 4 TẦNG 1 TUM - ĐẸP KHÔNG GÓC CHẾT Tại 521 Trương Định	125565899	36.8	6.8	3	3	2	20.982119	105.845695	Hoàng Mai	Hà Nội	Nhà riêng	3	13
BÁN NHÀ ĐÀM QUANG TRUNG - LONG BIÊN,MỚI ĐÉT, THMÁY, FULL NTHÂT, LÔ GÓC	125580255	40.0	8.9	4	5	2	21.026669	105.89605	Long Biên	Hà Nội	Nhà riêng	3	14
Rất hiếm! Đội Cấn 15m oto tránh , cạnh hồ đầm tròn,2 thoáng , 48m2*4T	125566343	48.0	8.1	3	3	2	21.03509	105.82292	Ba Đình	Hà Nội	Khác	0	1
Cần bán nhà đẹp Ngọc Thuỵ ngay cầu Long Biên  6 tỷ.	125580500	41.0	6.0	3	4	2	21.059816	105.863655	Long Biên	Hà Nội	Nhà riêng	3	14
CHÍNH CHỦ GỬI BÁN LIỀN KỀ NGAY NGÃ TƯ QUANG TRUNG-HÀ ĐÔNG-KINH DOANH.	125566599	50.0	13.5	4	4	2	20.964642	105.76773	Hà Đông	Hà Nội	Biệt thự	2	9
Víp phố Nguyễn Chí Thanh, ngõ thông, ô tô đỗ cổng, dt 45m2* 5 tầng	125581174	45.0	8.25	3	4	2	21.0226	105.80966	Đống Đa	Hà Nội	Khác	0	7
